CUPS,	Fecha,	Hora ,Consumo_kWh	,Metodo_obtencion
	ES0021000015665376YG,01/05/2020, 2,0.368,R
	ES0021000015665376YG,01/05/2020, 3,0.366,R
	ES0021000015665376YG,01/05/2020, 4,0.291,R
	ES0021000015665376YG,01/05/2020, 5,0.275,R
	ES0021000015665376YG,01/05/2020, 6,0.281,R
	ES0021000015665376YG,01/05/2020, 7,0.291,R
	ES0021000015665376YG,01/05/2020, 8,0.28,R
	ES0021000015665376YG,01/05/2020, 9,0.358,R
	ES0021000015665376YG,01/05/2020, 10,0.381,R
	ES0021000015665376YG,01/05/2020, 11,0.552,R
	ES0021000015665376YG,01/05/2020, 12,0.776,R
	ES0021000015665376YG,01/05/2020, 13,0.534,R
	ES0021000015665376YG,01/05/2020, 14,0.31,R
	ES0021000015665376YG,01/05/2020, 15,0.297,R
	ES0021000015665376YG,01/05/2020, 16,0.531,R
	ES0021000015665376YG,01/05/2020, 17,0.438,R
	ES0021000015665376YG,01/05/2020, 18,0.399,R
	ES0021000015665376YG,01/05/2020, 19,0.437,R
	ES0021000015665376YG,01/05/2020, 20,0.599,R
	ES0021000015665376YG,01/05/2020, 21,0.353,R
	ES0021000015665376YG,01/05/2020, 22,0.654,R
	ES0021000015665376YG,01/05/2020, 23,0.385,R
	ES0021000015665376YG,01/05/2020, 24,0.421,R
	ES0021000015665376YG,02/05/2020, 1,0.379,R
	ES0021000015665376YG,02/05/2020, 2,0.293,R
	ES0021000015665376YG,02/05/2020, 3,0.274,R
	ES0021000015665376YG,02/05/2020, 4,0.281,R
	ES0021000015665376YG,02/05/2020, 5,0.252,R
	ES0021000015665376YG,02/05/2020, 6,0.254,R
	ES0021000015665376YG,02/05/2020, 7,0.272,R
	ES0021000015665376YG,02/05/2020, 8,0.255,R
	ES0021000015665376YG,02/05/2020, 9,0.28,R
	ES0021000015665376YG,02/05/2020, 10,0.363,R
	ES0021000015665376YG,02/05/2020, 11,0.452,R
	ES0021000015665376YG,02/05/2020, 12,0.656,R
	ES0021000015665376YG,02/05/2020, 13,0.311,R
	ES0021000015665376YG,02/05/2020, 14,0.41,R
	ES0021000015665376YG,02/05/2020, 15,0.457,R
	ES0021000015665376YG,02/05/2020, 16,0.481,R
	ES0021000015665376YG,02/05/2020, 17,0.419,R
	ES0021000015665376YG,02/05/2020, 18,0.452,R
	ES0021000015665376YG,02/05/2020, 19,0.578,R
	ES0021000015665376YG,02/05/2020, 20,0.44,R
	ES0021000015665376YG,02/05/2020, 21,0.472,R
	ES0021000015665376YG,02/05/2020, 22,0.786,R
	ES0021000015665376YG,02/05/2020, 23,0.447,R
	ES0021000015665376YG,02/05/2020, 24,0.496,R
	ES0021000015665376YG,03/05/2020, 1,0.488,R
	ES0021000015665376YG,03/05/2020, 2,0.356,R
	ES0021000015665376YG,03/05/2020, 3,0.359,R
	ES0021000015665376YG,03/05/2020, 4,0.281,R
	ES0021000015665376YG,03/05/2020, 5,0.245,R
	ES0021000015665376YG,03/05/2020, 6,0.282,R
	ES0021000015665376YG,03/05/2020, 7,0.255,R
	ES0021000015665376YG,03/05/2020, 8,0.259,R
	ES0021000015665376YG,03/05/2020, 9,0.33,R
	ES0021000015665376YG,03/05/2020, 10,0.352,R
	ES0021000015665376YG,03/05/2020, 11,0.43,R
	ES0021000015665376YG,03/05/2020, 12,0.346,R
	ES0021000015665376YG,03/05/2020, 13,0.425,R
	ES0021000015665376YG,03/05/2020, 14,0.449,R
	ES0021000015665376YG,03/05/2020, 15,0.367,R
	ES0021000015665376YG,03/05/2020, 16,0.447,R
	ES0021000015665376YG,03/05/2020, 17,0.765,R
	ES0021000015665376YG,03/05/2020, 18,1.238,R
	ES0021000015665376YG,03/05/2020, 19,0.467,R
	ES0021000015665376YG,03/05/2020, 20,0.471,R
	ES0021000015665376YG,03/05/2020, 21,0.571,R
	ES0021000015665376YG,03/05/2020, 22,0.517,R
	ES0021000015665376YG,03/05/2020, 23,0.527,R
	ES0021000015665376YG,03/05/2020, 24,0.433,R
	ES0021000015665376YG,04/05/2020, 1,0.437,R
	ES0021000015665376YG,04/05/2020, 2,0.384,R
	ES0021000015665376YG,04/05/2020, 3,0.301,R
	ES0021000015665376YG,04/05/2020, 4,0.232,R
	ES0021000015665376YG,04/05/2020, 5,0.282,R
	ES0021000015665376YG,04/05/2020, 6,0.273,R
	ES0021000015665376YG,04/05/2020, 7,0.255,R
	ES0021000015665376YG,04/05/2020, 8,0.253,R
	ES0021000015665376YG,04/05/2020, 9,0.295,R
	ES0021000015665376YG,04/05/2020, 10,0.417,R
	ES0021000015665376YG,04/05/2020, 11,0.459,R
	ES0021000015665376YG,04/05/2020, 12,0.59,R
	ES0021000015665376YG,04/05/2020, 13,0.545,R
	ES0021000015665376YG,04/05/2020, 14,0.517,R
	ES0021000015665376YG,04/05/2020, 15,0.49,R
	ES0021000015665376YG,04/05/2020, 16,0.451,R
	ES0021000015665376YG,04/05/2020, 17,0.488,R
	ES0021000015665376YG,04/05/2020, 18,0.546,R
	ES0021000015665376YG,04/05/2020, 19,0.534,R
	ES0021000015665376YG,04/05/2020, 20,0.439,R
	ES0021000015665376YG,04/05/2020, 21,0.955,R
	ES0021000015665376YG,04/05/2020, 22,0.511,R
	ES0021000015665376YG,04/05/2020, 23,0.461,R
	ES0021000015665376YG,04/05/2020, 24,0.497,R
	ES0021000015665376YG,05/05/2020, 1,0.452,R
	ES0021000015665376YG,05/05/2020, 2,0.379,R
	ES0021000015665376YG,05/05/2020, 3,0.278,R
	ES0021000015665376YG,05/05/2020, 4,0.255,R
	ES0021000015665376YG,05/05/2020, 5,0.255,R
